society,price,price_per_sqft,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Environment Rating,Lifestyle Rating ,Connectivity Rating,Saftey Rating,furnishing_status,Private Garden / Terrace,Maintenance Staff,Water Storage,Park,Visitor Parking,Waste Disposal,Rain Water Harvesting,Security,cumulative_weight,latitude,longitude,region_cluster
independent,0.75,138888,54,2,1,0,1,0,10+ Year Old,4,4,5,4,Unfurnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.9,10000,900,6,4,3,3,2,10+ Year Old,4,4,4,4,Fully Furnished,0,0,1,1,1,0,0,0,1,28.4621977,77.0185742,0
independent,2.75,7666,3587,7,7,3+,3,2,5 to 10 Year Old,4,5,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0.5,28.503445,77.0952048,0
Gated Community,0.5,7407,675,5,4,3,3,6,1 to 5 Year Old,4,4,5,4,Fully Furnished,0,0,1,1,0,1,1,0,1,28.4601,77.02635,0
independent,0.5,8333,600,3,3,2,2,0,5 to 10 Year Old,4,5,5,4,Unfurnished,1,1,1,1,1,1,1,0,1,28.6273247,75.96433886,1
independent,0.42,4666,900,2,2,1,1,0,1 to 5 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,27.9689,82.50038,-1
independent,0.6,13333,450,3,3,0,3,0,0 to 1 Year Old,4,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
Gated Community,0.48,60000,80,2,2,0,2,5,1 to 5 Year Old,4,4,5,4,Fully Furnished,1,0,1,0,0,0,0,0,0,28.4601,77.02635,0
independent,0.5,11111,450,5,3,3,3,0,5 to 10 Year Old,3,4,4,4,Unfurnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
independent,0.35,7778,450,2,2,1,2,0,0 to 1 Year Old,3,4,4,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4601,77.02635,0
Gated Community,4,40775,981,4,3,2,2,0,1 to 5 Year Old,5,5,5,5,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4714278,77.0939848,0
independent,2.4,99173,242,8,4,2,2,0,10+ Year Old,4,4,5,4,Unfurnished,1,0,1,0,0,0,0,0,0,28.4601,77.02635,0
Gated Community,2.2,12222,1800,4,3,2,1,4,10+ Year Old,4,4,5,4,Unfurnished,1,0,0,1,1,0,0,0,2,28.4714278,77.0939848,0
independent,1.1,6172,1782,8,8,0,1,0,0 to 1 Year Old,4,3,4,4,Unfurnished,1,1,1,1,1,1,1,0,0,28.3247096,76.9263787,0
independent,8,22222,3600,4,5,3+,1,2,10+ Year Old,4,4,4,4,Fully Furnished,1,0,1,1,1,0,0,0,2.5,28.4662572,77.0142654,0
independent,0.82,9111,900,4,3,3,2,1,5 to 10 Year Old,4,4,5,4,Fully Furnished,0,0,1,0,0,0,0,0,0,28.3761832,76.8917951,0
independent,0.9,80357,112,3,3,0,2,0,0 to 1 Year Old,4,4,5,4,Fully Furnished,1,1,1,1,1,1,1,0,0,28.4967161,77.0274408,0
independent,0.7,4117,1700,4,4,1,2,0,5 to 10 Year Old,4,4,4,4,Unfurnished,1,1,1,1,1,1,1,0,0,28.3585156,77.0797901,0
